建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:36:41.242131","UD06","道瓊06","093612","079000","093612.079000","34566.00","1","94.00","0.27","34562.00","1","34567.00","1","34569.00","97.00","34817.00","-251.00","34383.00","183.00","434.00","34472.00","34664.00","-95.00","0","2019","20220411","36885.00","32059.00","4211","1","2","2","245"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:36:41.362177","UN2206","那斯達克2206","093424","168000","093424.168000","14282.00","3","-270.00","-1.86","14277.00","1","14279.00","24","14605.00","53.00","14644.00","-362.00","14281.00","1.00","363.00","14552.00","14333.00","272.00","0","4693","20220411","15570.00","13534.00","4216","2","2","2","579"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:36:41.362177","TX05","台指05","093639","781000","093639.781000","17174.00","2","-104.00","-0.60","17171.00","16","17175.00","10","17300.00","22.00","17352.00","-178.00","17158.00","16.00","194.00","17278.00","17200.00","100.00","0","1295","20220411","19005.00","15551.00","4171","3","2","2","940"
"CreateQuote","2022/04/11 08:31:49.082170","UpdateQuote","2022/04/11 09:36:41.362177","MTX05","小台05","093640","784000","093640.784000","17176.00","1","-102.00","-0.59","17172.00","9","17175.00","2","17299.00","21.00","17354.00","-178.00","17158.00","18.00","196.00","17278.00","17197.00","102.00","0","6981","20220411","19005.00","15551.00","4178","4","2","2","4363"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:37:13.908320","TSEA","加權指","000000","000000","000000.000000","17245.91","150","-38.63","-0.22","0.00","0","0.00","0","17273.05","-11.49","17316.35","-70.44","17216.99","28.92","99.36","17284.54","17284.54","-11.49","0","88431","20220411","19012.99","15556.09","30001","-1","0","2","246209"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:37:16.284501","0050","元大台灣50","000000","000000","000000.000000","133.85","1","-0.70","-0.52","133.80","29","133.85","69","134.15","-0.40","134.45","-0.60","133.70","0.15","0.75","134.55","134.55","-0.40","0","2333","20220411","148.00","121.10","0","-1","0","2","8930"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:37:15.384665","00632R","元大台灣50反1","000000","000000","000000.000000","5.34","5","0.03","0.56","5.33","19566","5.34","748","5.33","0.02","5.35","-0.01","5.31","0.03","0.04","5.31","5.31","0.02","0","25611","20220411","5.84","4.78","17","-1","0","2","135556"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:37:16.362396","TX06","台指06","000000","000000","000000.000000","17138.00","1","-106.00","-0.61","17134.00","1","17138.00","4","17273.00","29.00","17315.00","-177.00","17127.00","11.00","188.00","17244.00","17162.00","111.00","0","168","20220411","18968.00","15520.00","4172","-1","2","2","77"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:16.236502","MTX06","小台06","000000","000000","000000.000000","17139.00","1","-105.00","-0.61","17133.00","31","17139.00","5","17258.00","14.00","17319.00","-180.00","17126.00","13.00","193.00","17244.00","17165.00","93.00","0","896","20220411","18968.00","15520.00","4179","-1","2","2","570"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:16.128631","2330","台積電","093706","440182","093706.440182","565.00","1","-2.00","-0.35","565.00","35","566.00","542","563.00","-4.00","566.00","-1.00","562.00","3.00","4.00","567.00","567.00","-4.00","0","6588","20220411","623.00","511.00","29157","0","0","2","27971"
